TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,120255,"6497      ",ATM50K,"Z22Y      ",47007,0000000800164118500,6220000000,0,6220000000,33500000000,0,33500000000
1260818,110719,"6956      ",ATM50K,"Z2EW      ",4021,0000000000000000000,5720000000,0,5720000000,10000000000,0,10000000000
1260818,162043,"ZZXK      ",CRM,"W48K      ",34048,0000000000000000000,5140000000,11400000000,16540000000,5000000000,10000000000,15000000000
1260818,114512,"ZZQD      ",CRM,"W41D      ",44007,0000000000000000000,685000000,1320000000,2005000000,1000000000,4000000000,5000000000
1260818,144253,"8139      ",ATM50K,"Z2JH      ",24045,0000000000000000000,23355000000,0,23355000000,10000000000,0,10000000000
1260818,151056,"ZZQP      ",CRM,"W41P      ",29011,0000000000000000000,14120000000,1960000000,16080000000,5000000000,10000000000,15000000000
1260818,132306,"6829      ",ATM50K,"Z2BG      ",47007,0000000800164118500,11415000000,0,11415000000,30000000000,0,30000000000
1260818,221829,"B294      ",ATM50K,"Z7LD      ",47007,0000000800164118500,14530000000,0,14530000000,30000000000,0,30000000000
1260818,134031,"A477      ",ATM50K,"Z6NY      ",47007,0000000800184550900,8710000000,0,8710000000,20000000000,0,20000000000
1260818,91440,"3810      ",ATM50K,"Z1EJ      ",39066,0000000000000000000,20270000000,0,20270000000,10000000000,0,10000000000
1260818,175331,"ZZC9      ",CRM,"W24C      ",47007,0000000800034858700,1915000000,590000000,2505000000,5000000000,10000000000,15000000000
1260818,134143,"B387      ",ATM50K,"Z7NN      ",47007,0000000800034997200,14465000000,0,14465000000,16800000000,0,16800000000
1260818,194705,"H201      ",CRM,"W57E      ",47007,0000000800181276100,8705000000,7200000000,15905000000,14000000000,14000000000,28000000000
1260818,150126,"ZZOE      ",CRM,"W39E      ",33,0000000000000000000,5810000000,20420000000,26230000000,6000000000,12000000000,18000000000
1260818,103651,"2000      ",ATM100K,"Z0OM      ",20024,0000000000000000000,0,36110000000,36110000000,0,20000000000,20000000000
1260818,143520,"3830      ",ATM100K,"Z1F3      ",8032,0000000000000000000,0,22880000000,22880000000,0,20000000000,20000000000
1260818,75627,"A745      ",ATM100K,"Z6VX      ",34027,0000000000000000000,0,8010000000,8010000000,0,10000000000,10000000000
